Ticker,Name,SECTOR,22년 1분기_PBR,22년 2분기_PBR,22년 3분기_PBR,22년 4분기_PBR,23년 1분기_PBR,23년 2분기_PBR,23년 3분기_PBR,23년 4분기_PBR,24년 1분기_PBR,24년 2분기_PBR,24년 3분기_PBR,24년 4분기_PBR,25년 1분기_PBR,22년 1분기_PER,22년 2분기_PER,22년 3분기_PER,22년 4분기_PER,23년 1분기_PER,23년 2분기_PER,23년 3분기_PER,23년 4분기_PER,24년 1분기_PER,24년 2분기_PER,24년 3분기_PER,24년 4분기_PER,25년 1분기_PER
73010,케이에스피,기계·장비,2.71,2.79,3.0,2.43,2.48,2.12,3.02,2.97,3.56,3.3,3.42,3.23,3.51,51.18,32.11,34.53,27.98,28.58,18.21,25.85,25.42,30.62,11.95,12.37,11.7,12.7
73110,엘엠에스,전기·전자,0.77,0.56,0.48,0.43,0.47,0.45,0.39,0.39,0.4,0.49,0.45,0.44,0.45,,28.18,24.51,21.92,23.78,172.2,147.51,147.28,152.53,,,,
73190,듀오백,기타제조,1.12,1.26,1.12,0.99,0.96,1.24,1.29,1.4,1.37,1.77,1.64,1.54,2.14,39.74,,,,,,,,,,,,
73240,금호타이어,화학,1.01,0.99,0.88,0.75,0.78,1.18,1.18,1.26,1.52,1.55,1.15,1.03,1.12,,,,,,,,,,12.46,9.21,8.23,9.0
73490,이노와이어리스,전기·전자,2.57,2.09,1.65,1.69,1.76,1.42,1.22,1.24,1.44,1.16,0.85,0.83,0.97,20.06,16.36,12.88,13.19,13.78,13.84,11.85,12.09,14.04,17.68,13.01,12.63,14.84
73540,에프알텍,전기·전자,1.29,0.91,0.82,0.78,0.75,0.54,0.5,0.47,0.47,0.35,0.27,0.25,0.28,,177.06,159.71,150.92,144.42,3.77,3.5,3.26,3.26,10.19,7.93,7.38,8.24
73560,우리손에프앤지,음식료·담배,0.73,0.74,0.58,0.53,0.54,0.52,0.49,0.43,0.41,0.41,0.37,0.37,0.36,6.88,6.16,4.83,4.44,4.55,5.28,4.97,4.36,4.15,67.55,61.72,61.05,58.92
73570,리튬포어스,기타제조,11.02,16.42,13.63,8.22,7.82,3.59,2.46,1.21,0.9,1.28,0.65,0.45,0.29,,,,,,4.86,3.33,1.64,1.22,,,,
73640,테라사이언스,금속,4.67,3.35,2.57,2.46,3.33,4.03,3.67,1.75,0.96,0.8,0.8,0.8,0.8,,,,,,10.73,9.76,4.66,2.56,,,,
74430,아미노로직스,제약,3.33,3.6,3.45,2.82,2.82,2.96,2.46,2.26,2.6,2.36,2.05,1.72,1.51,84.69,39.87,38.25,31.23,31.28,,,,,52.34,45.47,38.19,33.36
74600,원익QnC,비금속,2.85,2.59,2.17,2.13,2.1,1.82,1.99,1.86,2.09,2.24,1.9,1.36,1.27,26.35,13.56,11.38,11.15,10.98,12.7,13.86,12.96,14.57,23.94,20.28,14.55,13.56
74610,이엔플러스,기계·장비,3.08,2.68,2.27,3.8,3.84,10.33,6.68,3.96,2.9,2.81,1.77,1.14,0.8,,,,,,,,,,,,,
75130,플랜티넷,IT 서비스,1.05,0.73,0.55,0.52,0.55,0.58,0.55,0.54,0.56,0.52,0.53,0.5,0.56,58.1,8.52,6.39,6.11,6.38,,,,,22.71,22.98,21.61,24.6
75180,새론오토모티브,운송장비·부품,0.5,0.45,0.4,0.4,0.39,0.39,0.38,0.34,0.34,0.32,0.32,0.3,0.28,17.73,7.59,6.77,6.8,6.63,,,,,22.17,22.26,20.83,19.62
75580,세진중공업,운송장비·부품,2.49,2.23,2.29,1.94,1.93,2.16,2.05,1.53,1.86,2.26,2.53,2.31,2.56,205.62,22.45,23.04,19.46,19.4,30.43,28.99,21.66,26.25,23.8,26.7,24.34,27.03
75970,동국알앤에스,비금속,1.02,1.1,0.92,0.96,0.87,1.05,0.96,0.77,0.82,0.8,0.66,0.6,0.64,24.37,28.63,23.96,24.94,22.62,21.31,19.53,15.54,16.65,91.17,75.59,68.51,73.13
76080,웰크론한텍,건설,1.22,1.16,1.15,1.45,1.5,1.73,1.47,1.13,0.84,0.71,0.55,0.44,0.44,131.18,,,,,,,,,,,,
76610,해성옵틱스,의료·정밀기기,10.1,10.34,7.56,5.43,5.51,7.57,6.2,5.07,0.85,0.78,0.74,0.57,0.52,,,,,,,,,,,,,
77360,덕산하이메탈,전기·전자,0.92,1.43,1.16,0.89,0.94,0.97,1.25,1.07,1.09,1.16,0.89,0.67,0.65,11.48,11.67,9.5,7.26,7.69,46.76,60.33,51.68,52.61,59.04,45.34,33.96,33.13
77500,유니퀘스트,유통,0.68,0.48,0.39,0.37,0.44,0.4,0.6,0.47,0.6,0.67,0.53,0.48,0.67,6.35,2.3,1.9,1.81,2.15,2.83,4.3,3.36,4.29,8.67,6.75,6.17,8.63
77970,STX엔진,기계·장비,1.22,1.33,1.43,1.29,1.31,1.42,1.51,1.27,1.32,1.52,1.9,2.09,2.59,16.55,6835.08,7350.0,6614.11,6729.27,,,,,85.7,106.69,117.7,145.55
78000,텔코웨어,IT 서비스,0.91,0.53,0.49,0.45,0.47,0.46,0.46,0.5,0.53,0.52,0.51,0.49,0.45,31.09,32.21,29.81,27.09,28.24,13.33,13.34,14.54,15.13,11.02,10.78,10.38,9.56
78020,LS증권,금융,0.69,0.52,0.47,0.39,0.35,0.33,0.3,0.29,0.32,0.36,0.35,0.3,0.28,3.16,2.35,2.13,1.75,1.6,10.86,9.86,9.55,10.45,11.72,11.38,9.89,9.16
78070,유비쿼스홀딩스,금융,1.44,1.29,1.15,1.09,1.13,0.98,0.91,0.9,0.92,0.81,0.71,0.66,0.68,27.65,14.53,12.92,12.25,12.69,15.48,14.49,14.31,14.6,14.05,12.24,11.45,11.78
78130,국일제지,종이·목재,6.89,5.79,4.69,4.47,3.38,1.94,1.94,1.94,1.94,0.76,0.76,0.76,0.76,,,,,,,,,,,,,
78140,대봉엘에스,제약,0.95,0.92,0.83,0.77,0.79,0.76,1.01,0.84,0.89,0.95,1.48,1.47,1.25,16.83,14.89,13.33,12.41,12.78,10.26,13.65,11.45,12.1,27.32,42.7,42.41,36.1
78150,HB테크놀러지,기계·장비,1.15,0.97,0.84,0.81,0.86,0.97,1.03,0.89,0.85,0.98,0.85,0.61,0.71,50.84,15.11,13.2,12.65,13.46,7.42,7.87,6.85,6.52,3.49,3.02,2.16,2.53
78160,메디포스트,제약,2.35,2.05,1.71,1.3,1.35,1.43,1.16,0.94,0.94,0.83,0.76,1.03,1.21,,,,,,68.32,55.41,44.89,44.7,23.9,21.82,29.65,34.61
78340,컴투스,IT 서비스,1.62,0.91,0.81,0.68,0.67,0.72,0.53,0.5,0.46,0.41,0.39,0.46,0.47,18.47,8.31,7.35,6.17,6.13,24.59,18.09,16.9,15.87,11.64,11.19,13.05,13.25
78350,한양디지텍,전기·전자,4.42,2.8,2.25,2.07,2.26,1.67,1.68,1.64,1.93,2.76,1.87,1.14,1.14,38.44,9.32,7.5,6.89,7.51,5.46,5.49,5.33,6.28,29.06,19.68,12.01,12.05
78520,에이블씨엔씨,화학,1.09,1.56,1.25,1.1,1.57,1.89,1.86,1.74,1.59,2.47,2.35,2.1,2.09,,,,,,232.18,228.67,213.61,195.62,35.33,33.6,30.06,29.84
78590,휴림에이텍,운송장비·부품,3.39,14.79,14.79,14.79,14.79,11.39,10.97,4.55,1.64,1.09,0.9,0.73,0.75,,,,,,34.98,33.69,13.98,5.06,5.69,4.7,3.81,3.89
78600,대주전자재료,전기·전자,16.69,9.75,9.32,9.79,10.26,12.55,11.76,10.04,10.01,10.41,10.88,8.92,9.44,267.48,55.19,52.77,55.43,58.11,1508.98,1414.2,1207.01,1203.38,2329.43,2433.25,1994.91,2110.45
78860,엔에스이엔엠,오락·문화,0.17,0.12,0.08,0.06,0.05,0.07,0.05,0.0,0.04,0.06,0.11,0.11,0.5,,,,,,,,,,,,,
78890,가온그룹,전기·전자,1.3,0.9,0.63,0.54,0.72,0.59,0.48,0.49,0.52,0.52,0.41,0.32,0.29,68.53,7.68,5.34,4.6,6.12,10.29,8.3,8.54,9.08,,,,
78930,GS,기타금융,0.46,0.41,0.39,0.43,0.39,0.3,0.29,0.31,0.35,0.31,0.32,0.29,0.27,,2.93,2.79,3.02,2.75,1.74,1.7,1.82,2.05,3.26,3.34,3.02,2.79
78940,퀀타피아,,3.27,3.94,3.19,2.7,2.48,2.13,6.47,5.42,5.45,5.57,5.57,5.57,4.3,,,,,,,,,,,,,
79000,와토스코리아,화학,0.6,0.66,0.58,0.55,0.54,0.51,0.48,0.45,0.45,0.58,0.49,0.48,0.47,30.78,34.46,30.49,28.79,28.1,7.41,7.03,6.62,6.58,17.19,14.52,14.39,14.05
79160,CJ CGV,오락·문화,4.59,3.35,2.56,2.04,2.2,1.28,1.36,0.99,1.02,1.65,1.76,1.59,1.47,,,,,,,,,,,,,
79170,한창산업,금속,0.88,0.85,0.78,0.93,0.9,1.15,0.92,0.72,0.67,0.63,0.61,0.61,0.56,39.22,12.05,11.05,13.23,12.73,11.64,9.27,7.31,6.79,24.86,24.3,24.32,22.4
79190,케스피온,전기·전자,1.5,1.91,1.63,1.64,1.22,2.53,2.16,1.96,1.86,1.24,1.06,0.95,0.84,,,,,,,,,,9.93,8.51,7.64,6.7
79370,제우스,기계·장비,0.37,0.36,0.33,0.37,0.38,0.38,0.51,0.48,2.09,1.81,1.49,1.22,1.47,4.81,5.66,5.13,5.81,5.93,3.01,4.0,3.76,16.47,54.7,45.18,37.1,44.43
79430,현대리바트,기타제조,0.61,0.56,0.45,0.38,0.36,0.37,0.37,0.37,0.35,0.44,0.45,0.4,0.37,10.84,20.34,16.34,13.71,13.11,,,,,,,,
79550,LIG넥스원,금속,2.2,2.19,2.52,2.64,2.17,1.85,1.89,2.34,3.21,3.57,4.25,4.71,5.47,25.23,15.9,18.26,19.11,15.73,14.06,14.41,17.84,24.44,21.48,25.55,28.32,32.92
79650,서산,비금속,0.8,0.74,0.62,0.57,0.57,0.56,0.5,0.48,0.44,0.4,0.34,0.35,0.35,,12.56,10.51,9.66,9.71,32.45,29.47,27.84,25.9,18.26,15.54,15.63,15.75
79810,디이엔티,전기·전자,3.5,4.25,4.24,5.27,6.85,11.19,21.66,13.79,10.45,1.75,1.3,0.97,0.89,,117.3,117.0,145.44,188.93,,,,,201.12,149.38,111.6,101.6
79940,가비아,IT 서비스,1.93,1.72,1.49,1.36,1.61,1.3,1.41,1.64,1.97,1.53,1.25,1.29,1.48,13.46,14.61,12.68,11.54,13.66,7.21,7.81,9.11,10.96,13.72,11.25,11.58,13.28
79950,인베니아,기계·장비,1.49,1.03,0.79,0.65,0.63,0.75,0.59,0.47,0.47,0.64,0.55,0.47,0.43,,4.5,3.43,2.82,2.75,,,,,,,,
79960,동양이엔피,전기·전자,0.58,0.48,0.43,0.41,0.47,0.49,0.61,0.56,0.55,0.49,0.46,0.45,0.46,5.75,7.19,6.31,6.11,6.94,5.96,7.37,6.77,6.7,3.4,3.2,3.15,3.17
79970,투비소프트,IT 서비스,1.58,1.59,1.21,1.29,1.05,1.61,1.38,0.95,0.68,0.67,0.16,0.23,0.17,,,,,,,,,,,,,
79980,휴비스,화학,0.54,0.51,0.44,0.36,0.34,0.42,0.48,0.38,0.35,0.45,0.38,0.32,0.31,2.96,65.48,55.81,45.66,43.85,,,,,,,,
80000,에스엔유,,0.96,0.92,0.75,0.67,0.94,1.05,0.79,0.65,0.74,0.58,0.48,0.41,,23.23,13.95,11.39,10.17,14.32,19.02,14.31,11.8,13.29,11.77,9.78,8.22,
80010,이상네트웍스,유통,0.68,0.64,0.53,0.51,0.53,0.5,0.48,0.47,0.47,0.46,0.44,0.43,0.43,10.81,10.53,8.61,8.34,8.6,5.67,5.46,5.32,5.39,9.07,8.76,8.47,8.57
80160,모두투어,일반서비스,8.16,5.24,4.11,4.04,4.9,5.38,5.04,4.93,5.1,3.97,3.06,2.53,2.47,,20.75,16.29,15.98,19.39,,,,,26.8,20.64,17.08,16.68
80220,제주반도체,전기·전자,2.05,1.54,1.29,1.1,1.32,1.21,1.06,1.61,6.18,4.84,3.17,2.27,3.05,21.99,14.51,12.18,10.41,12.43,7.27,6.33,9.64,37.03,46.58,30.53,21.9,29.39
80420,모다이노칩,유통,0.99,0.82,0.8,0.72,0.74,0.74,0.65,0.57,0.55,0.5,0.44,0.43,0.49,32.65,25.33,24.81,22.28,23.01,,,,,,,,
80470,성창오토텍,운송장비·부품,1.47,1.39,1.27,1.27,1.28,1.07,0.96,0.83,0.81,0.68,0.61,0.6,0.54,67.61,14.86,13.62,13.58,13.64,20.01,18.0,15.61,15.12,5.98,5.33,5.23,4.74
80520,오디텍,전기·전자,0.71,0.58,0.45,0.42,0.44,0.48,0.43,0.39,0.42,0.38,0.34,0.28,0.26,14.65,18.01,13.9,13.01,13.76,,,,,15.77,14.02,11.75,11.01
80530,코디,화학,1.07,1.26,1.15,1.09,1.0,1.57,1.66,1.48,2.86,2.38,2.24,1.63,1.5,,,,,,,,,,,,,
80580,오킨스전자,전기·전자,12.63,11.37,10.13,9.13,9.16,9.31,4.19,2.46,5.98,3.49,3.13,2.47,2.71,778.27,211.67,188.46,170.01,170.39,107.86,48.5,28.52,69.23,116.93,105.0,82.67,90.76
80720,한국유니온제약,제약,1.08,1.21,1.07,0.9,0.91,0.86,0.75,0.7,0.76,1.39,1.12,0.65,0.65,,,,,,,,,,,,,
81000,일진다이아,화학,2.1,0.86,0.7,0.57,0.63,0.72,0.58,0.47,0.51,0.57,0.49,0.42,0.41,52.54,41.54,34.11,27.67,30.62,,,,,22.94,19.65,16.96,16.49
81150,티플랙스,금속,1.22,0.9,0.75,0.7,0.66,0.63,0.59,0.5,0.48,0.45,0.44,0.46,0.48,32.58,12.5,10.42,9.66,9.11,6.39,6.03,5.11,4.88,,,,
81580,성우전자,전기·전자,0.57,0.49,0.42,0.4,0.4,0.4,0.34,0.29,0.31,0.39,0.53,0.6,0.41,,9.7,8.36,7.94,7.98,7.8,6.69,5.78,6.03,,,,
81660,미스토홀딩스,유통,1.53,1.16,1.14,1.22,1.39,1.18,1.23,1.22,1.27,1.25,1.31,1.25,1.23,14.11,7.94,7.79,8.38,9.51,6.44,6.73,6.64,6.96,55.78,58.59,56.18,55.04
82210,옵트론텍,의료·정밀기기,1.92,1.49,1.19,0.91,0.83,2.49,2.38,2.55,3.53,2.68,1.85,1.31,1.0,,,,,,,,,,10.14,7.01,4.97,3.77
82270,젬백스,기계·장비,4.57,3.67,3.43,3.22,3.69,4.21,3.81,3.91,3.72,4.09,4.21,5.87,10.2,371.47,46.8,43.77,41.07,47.15,,,,,,,,
82640,동양생명,보험,0.33,0.32,0.28,0.27,0.22,0.31,0.32,0.37,0.43,0.29,0.4,0.3,0.26,7.62,3.52,3.08,2.99,2.47,7.91,8.38,9.65,11.12,3.11,4.26,3.2,2.8
82660,코스나인,화학,1.56,2.15,1.74,1.56,1.56,2.83,3.42,1.44,0.87,1.09,1.23,1.2,1.2,,,,,,,,,,,,,
82740,한화엔진,기계·장비,1.21,1.79,2.26,2.04,2.1,2.76,3.44,2.85,2.96,4.03,4.42,5.02,7.41,38.75,,,,,,,,,,,,
82800,비보존 제약,제약,6.59,10.62,7.5,7.02,10.43,9.54,7.07,1.45,1.36,1.38,1.66,2.9,3.39,,,,,,,,,,,,,
82850,우리바이오,음식료·담배,1.53,1.19,1.11,0.98,0.92,0.73,0.57,0.68,0.8,0.67,1.02,0.78,0.62,9.81,5.38,5.02,4.43,4.14,5.99,4.69,5.55,6.54,8.52,13.08,9.95,7.91
82920,비츠로셀,전기·전자,1.98,1.6,1.56,1.64,2.01,2.17,2.42,1.91,2.01,1.83,1.84,1.9,2.46,21.84,15.77,15.34,16.08,19.8,17.46,19.5,15.39,16.19,11.5,11.54,11.92,15.48
83310,엘오티베큠,기계·장비,1.54,1.19,1.0,0.97,1.11,1.22,1.97,1.72,1.66,1.19,0.77,0.58,0.61,58.95,11.3,9.45,9.22,10.5,10.63,17.05,14.97,14.37,5.72,3.67,2.78,2.93
83420,그린케미칼,화학,2.02,1.75,1.54,2.11,1.9,1.98,1.53,1.26,1.4,1.5,1.32,1.08,1.31,21.6,13.52,11.92,16.35,14.68,84.47,65.13,53.59,59.58,53.82,47.23,38.78,46.96
83450,GST,기계·장비,1.41,0.86,0.65,0.63,0.69,0.61,0.61,0.53,0.87,1.81,1.36,1.25,1.54,9.35,3.3,2.51,2.45,2.67,2.53,2.5,2.19,3.6,11.45,8.58,7.87,9.73
83470,이엠앤아이,화학,16.06,18.18,18.18,17.74,11.45,6.32,4.37,2.99,2.89,2.91,2.48,2.05,1.98,,,,,,,,,,,,,
83500,에프엔에스테크,기계·장비,1.55,1.4,1.2,1.06,1.13,1.18,1.19,1.22,1.46,1.59,1.47,1.11,1.27,9.92,52.36,44.77,39.63,42.31,15.32,15.39,15.77,18.93,57.3,53.11,39.94,45.86
83550,케이엠,섬유·의류,0.69,0.53,0.5,0.45,0.49,0.42,0.38,0.38,0.38,0.36,0.32,0.28,0.3,2.23,8.93,8.34,7.58,8.26,7.38,6.65,6.59,6.62,,,,
83640,인콘,유통,0.77,0.66,0.67,0.63,0.55,0.46,0.34,0.31,0.31,0.46,0.38,0.32,0.3,,,,,,12.06,8.84,8.06,8.05,,,,
83650,비에이치아이,기계·장비,1.22,2.33,3.29,2.72,2.62,4.28,4.03,3.86,4.48,4.04,3.51,5.57,8.24,26.54,,,,,,,,,35.98,31.26,49.59,73.38
83660,CSA 코스믹,화학,5.78,4.84,3.45,2.78,2.34,16.17,17.83,14.37,16.05,3.48,2.73,2.54,2.13,,,,,,,,,,,,,
83790,CG인바이츠,일반서비스,1.89,1.61,1.24,1.13,1.13,1.56,1.39,1.05,1.25,1.8,1.57,1.56,1.48,,,,,,,,,,,,,
83930,아바코,기계·장비,1.25,0.98,0.95,1.26,1.26,1.48,1.52,1.18,1.13,1.4,1.17,1.07,1.16,10.49,12.23,11.89,15.72,15.7,13.76,14.17,11.02,10.53,58.35,48.68,44.53,48.66
84010,대한제강,금속,0.99,0.65,0.49,0.41,0.41,0.35,0.34,0.34,0.34,0.31,0.28,0.35,0.37,8.93,3.0,2.27,1.9,1.87,2.03,1.95,1.99,1.99,3.31,3.05,3.71,3.97
84110,휴온스글로벌,제약,0.97,0.6,0.5,0.43,0.47,0.54,0.59,0.57,0.61,0.55,0.62,0.89,0.94,9.27,81.12,67.45,57.92,63.47,,,,,7.19,8.1,11.63,12.35
84180,수성웹툰,기계·장비,29.3,26.07,24.28,26.8,19.64,15.05,14.23,10.05,10.61,9.52,8.6,0.85,0.85,,,,,,,,,,,,,
84370,유진테크,기계·장비,4.56,3.09,2.1,1.79,2.04,2.09,2.39,2.85,2.67,3.28,2.85,2.26,2.57,301.56,15.03,10.23,8.71,9.91,17.97,20.58,24.51,22.93,46.29,40.31,31.92,36.26
84440,유비온,IT 서비스,,,,13.62,11.39,6.08,7.27,6.17,5.66,2.48,1.96,1.97,2.3,,,,18.73,15.66,12.36,14.78,12.53,11.5,,,,
84650,랩지노믹스,일반서비스,1.85,0.8,0.77,0.7,0.67,0.5,1.6,1.26,1.15,0.84,0.97,0.96,0.89,3.37,1.53,1.46,1.34,1.28,2.16,6.87,5.41,4.94,,,,
84670,동양고속,운송·창고,0.5,0.56,0.49,0.43,0.44,0.52,0.49,0.46,0.43,0.42,0.35,0.3,0.27,,,,,,,,,,,,,
84680,이월드,기타제조,0.92,1.4,1.09,0.96,0.96,0.87,0.79,0.76,1.24,1.2,1.07,0.99,0.85,,,,,,38.08,34.31,33.16,53.82,,,,
84690,대상홀딩스,기타금융,0.52,0.49,0.42,0.39,0.4,0.39,0.35,0.45,0.54,0.48,0.47,0.46,0.55,3.85,6.48,5.58,5.13,5.25,8.95,8.08,10.24,12.29,16.96,16.56,16.05,19.45
84730,팅크웨어,전기·전자,1.2,1.18,1.07,1.0,0.96,0.92,0.94,1.02,1.07,0.88,0.74,0.61,0.61,20.02,24.02,21.74,20.3,19.49,38.87,39.78,43.44,45.31,11.02,9.3,7.69,7.62
84850,아이티엠반도체,전기·전자,3.22,2.99,2.77,2.55,2.36,2.69,2.39,2.31,2.55,2.42,2.26,1.82,1.4,58.13,126.11,116.7,107.22,99.52,,,,,,,,
84870,TBH글로벌,섬유·의류,0.52,0.77,0.74,0.68,0.68,0.65,0.69,0.71,0.59,0.55,0.46,0.43,0.38,,,,,,7.97,8.43,8.62,7.18,5.19,4.32,4.03,3.51
84990,헬릭스미스,일반서비스,2.88,3.58,2.85,2.19,1.8,1.55,1.03,0.91,0.8,1.31,1.17,1.02,0.81,,,,,,,,,,,,,
85310,엔케이,금속,0.89,0.83,0.74,0.71,0.7,0.66,0.72,0.68,0.65,0.43,0.39,0.34,0.42,,7.57,6.78,6.48,6.46,7.02,7.68,7.29,6.95,1.24,1.13,1.0,1.22
85620,미래에셋생명,보험,0.35,0.26,0.21,0.19,0.2,0.3,0.38,0.49,0.5,0.22,0.24,0.24,0.22,8.28,6.22,5.02,4.61,4.72,6.89,8.85,11.22,11.44,5.57,5.86,5.85,5.34
85660,차바이오텍,제약,2.43,1.97,1.8,1.58,1.55,2.48,2.78,3.0,3.24,3.13,3.04,2.9,2.14,,,,,,,,,,,,,
85670,뉴프렉스,전기·전자,3.1,2.75,2.76,3.1,3.34,2.5,1.91,1.86,3.03,2.45,1.78,1.73,1.74,,55.24,55.47,62.28,67.07,11.36,8.69,8.45,13.76,26.4,19.14,18.58,18.69
85810,알티캐스트,IT 서비스,0.89,0.98,0.75,0.89,0.81,1.04,0.93,0.72,0.63,1.19,1.24,1.3,1.68,,,,,,,,,,,,,
85910,네오티스,운송장비·부품,1.46,1.34,1.25,1.17,1.15,1.02,0.92,0.81,0.82,0.89,0.89,0.88,0.81,286.4,11.25,10.47,9.76,9.61,10.85,9.73,8.55,8.67,,,,
86040,바이오톡스텍,일반서비스,3.38,2.97,2.81,2.72,2.91,2.79,2.38,2.02,2.01,1.69,1.46,1.13,0.97,43.27,17.15,16.19,15.67,16.82,45.28,38.64,32.88,32.59,,,,
86060,진바이오텍,유통,0.92,1.05,0.92,0.79,0.81,0.83,0.79,0.8,0.8,0.71,0.67,0.61,0.58,,,,,,24.88,23.78,24.07,23.89,13.15,12.51,11.31,10.89
86280,현대글로비스,운송·창고,0.64,0.64,0.57,0.55,0.53,0.47,0.49,0.48,0.5,0.45,1.12,1.15,1.26,5.37,4.73,4.25,4.1,3.91,2.71,2.83,2.78,2.86,3.3,8.2,8.38,9.19
86390,유니테스트,기계·장비,3.79,3.32,2.4,1.76,1.63,1.98,1.97,1.71,2.08,2.07,1.52,1.29,1.73,337.18,,,,,,,,,45.3,33.32,28.33,37.82
86450,동국제약,제약,2.31,2.06,1.85,1.61,1.58,1.37,1.26,1.39,1.54,1.43,1.45,1.41,1.27,16.47,18.28,16.44,14.25,14.02,12.79,11.74,12.97,14.37,16.27,16.41,16.02,14.45
86520,에코프로,금융,1.13,0.34,0.42,0.53,1.04,2.45,4.11,2.76,2.31,7.78,6.95,5.86,4.85,15.43,1.38,1.74,2.18,4.27,86.86,146.02,98.09,81.88,254.18,226.99,191.59,158.31
86670,비엠티,기계·장비,1.29,1.24,1.46,1.46,1.46,1.26,1.29,1.15,1.09,0.98,0.82,0.63,0.64,23.59,17.4,20.59,20.54,20.57,8.2,8.43,7.51,7.11,7.02,5.93,4.56,4.58
86710,선진뷰티사이언스,화학,2.5,1.98,1.6,1.55,1.77,1.48,1.69,1.48,1.54,2.23,2.23,1.7,1.78,25.76,76.59,61.77,60.01,68.23,4.93,5.6,4.91,5.12,27.79,27.75,21.22,22.2
86790,하나금융지주,기타금융,0.46,0.39,0.32,0.36,0.39,0.33,0.32,0.34,0.42,0.43,0.46,0.45,0.44,5.32,3.88,3.19,3.55,3.87,3.5,3.36,3.55,4.46,5.21,5.47,5.39,5.28
86820,바이오솔루션,제약,1.09,0.89,0.86,0.7,0.69,0.79,0.74,0.85,1.08,1.12,0.91,1.09,1.71,,,,,,,,,,,,,
86890,이수앱지스,제약,4.55,3.62,3.56,2.75,2.97,3.49,3.64,3.09,3.07,3.07,2.92,2.44,2.27,,301.51,296.6,229.69,247.43,,,,,63.33,60.33,50.47,46.84
86900,메디톡스,제약,3.28,1.98,1.85,1.95,3.06,3.9,3.8,3.49,2.93,2.08,2.74,2.26,1.9,,7.78,7.27,7.66,12.04,44.41,43.25,39.67,33.3,103.8,136.63,112.85,94.91
86960,MDS테크,IT 서비스,0.15,0.13,0.11,0.29,1.91,2.04,1.65,1.25,1.47,1.23,0.92,0.75,0.94,3.92,,,,,,,,,96.35,72.09,58.74,73.01
86980,쇼박스,오락·문화,2.41,2.57,2.25,1.67,1.64,1.68,1.56,1.4,1.73,2.14,2.16,2.47,1.84,,156.67,137.5,101.71,100.32,,,,,,,,
87010,펩트론,제약,2.49,3.1,2.97,2.62,2.48,3.06,11.4,12.37,10.34,18.01,32.89,53.63,55.28,,,,,,,,,,,,,
87260,모바일어플라이언스,IT 서비스,3.09,2.87,2.57,2.44,2.32,2.26,1.97,2.13,1.84,1.87,1.67,1.45,1.43,46.72,50.19,44.91,42.61,40.59,49.18,42.87,46.41,40.12,42.59,38.19,33.19,32.72
87600,픽셀플러스,전기·전자,1.11,0.7,0.62,0.66,0.63,0.58,0.52,0.46,0.78,0.72,0.61,0.51,0.53,17.64,15.87,14.03,14.85,14.22,199.25,176.45,155.64,265.36,,,,
88130,동아엘텍,기계·장비,0.31,0.25,0.21,0.19,0.22,0.26,0.2,0.17,0.21,0.26,0.22,0.49,0.37,5.17,9.99,8.34,7.64,8.96,30.93,23.14,19.41,24.59,,,,
88280,쏘닉스,전기·전자,,,,,,,,3.37,2.45,1.35,1.0,0.94,1.12,,,,,,,,,,,,,
88290,이원컴포텍,운송장비·부품,14.56,4.05,4.07,3.93,3.34,2.54,1.79,1.44,0.8,0.9,0.88,0.67,0.7,,,,,,,,,,,,,
88350,한화생명,보험,0.21,0.18,0.15,0.15,0.18,0.28,0.28,0.31,0.34,0.16,0.17,0.16,0.15,16.72,1.85,1.55,1.58,1.83,2.95,2.95,3.26,3.55,2.99,3.11,2.88,2.7
88390,이녹스,운송장비·부품,1.76,1.11,1.08,1.02,1.2,1.73,1.4,1.01,1.01,0.97,0.74,0.46,0.41,22.67,4.03,3.89,3.68,4.36,24.66,19.84,14.37,14.29,,,,
88790,진도,유통,0.38,0.43,0.36,0.33,0.34,0.34,0.28,0.25,0.25,0.26,0.22,0.21,0.21,,12.08,10.16,9.3,9.61,7.82,6.41,5.69,5.59,6.4,5.34,5.05,5.08
88800,에이스테크,전기·전자,20.35,19.12,13.16,10.59,10.93,8.47,6.42,4.94,6.08,18.32,8.72,8.41,7.14,,,,,,,,,,,,,
88910,동우팜투테이블,음식료·담배,0.43,0.48,0.4,0.4,0.4,0.41,0.39,0.39,0.39,0.3,0.26,0.23,0.23,,,,,,4.92,4.64,4.67,4.65,2.53,2.14,1.9,1.91
89010,켐트로닉스,화학,3.58,2.51,2.01,1.65,1.81,2.44,2.3,2.21,2.31,2.63,2.17,1.64,2.18,22.71,12.35,9.87,8.11,8.9,58.33,54.97,52.8,55.22,,,,
89030,테크윙,기계·장비,0.94,0.87,1.3,1.04,1.08,1.12,1.2,1.41,3.1,6.62,7.75,6.28,6.88,5.77,10.44,15.65,12.55,13.01,8.17,8.78,10.28,22.66,,,,
89140,넥스턴바이오,기계·장비,8.18,6.18,4.55,3.8,2.96,0.75,0.54,0.38,0.33,0.25,0.21,0.24,0.18,,,,,,,,,,3.42,2.8,3.25,2.42
