Ticker,Name,SECTOR,22년 1분기_PBR,22년 2분기_PBR,22년 3분기_PBR,22년 4분기_PBR,23년 1분기_PBR,23년 2분기_PBR,23년 3분기_PBR,23년 4분기_PBR,24년 1분기_PBR,24년 2분기_PBR,24년 3분기_PBR,24년 4분기_PBR,25년 1분기_PBR,22년 1분기_PER,22년 2분기_PER,22년 3분기_PER,22년 4분기_PER,23년 1분기_PER,23년 2분기_PER,23년 3분기_PER,23년 4분기_PER,24년 1분기_PER,24년 2분기_PER,24년 3분기_PER,24년 4분기_PER,25년 1분기_PER
16740,두올,운송장비·부품,0.69,0.59,0.47,0.42,0.45,0.61,0.61,0.56,0.63,0.54,0.48,0.49,0.44,23.05,7.18,5.75,5.04,5.45,16.11,15.94,14.65,16.49,5.51,4.95,5.07,4.55
16790,현대사료,음식료·담배,0.17,4.64,5.26,2.84,3.4,12.18,18.93,18.62,6.62,,,,,77.78,,,,,,,,,,,,
16800,퍼시스,기타제조,0.89,0.64,0.57,0.53,0.55,0.56,0.57,0.57,0.61,0.7,0.75,0.71,0.71,9.75,7.08,6.27,5.87,6.1,45.78,46.39,46.65,50.08,5.56,5.96,5.66,5.66
16880,웅진,일반서비스,3.75,2.35,1.83,1.54,2.0,1.56,1.27,1.36,1.26,1.43,1.24,1.05,1.06,,6.21,4.83,4.07,5.28,14.8,12.08,12.96,12.0,,,,
16920,카스,유통,1.89,1.29,1.07,0.82,0.81,0.65,0.6,0.6,0.6,0.55,0.48,0.55,0.76,,,,,,13.53,12.36,12.48,12.39,20.46,17.78,20.31,28.24
17000,신원종합개발,건설,1.43,1.19,0.86,0.61,0.63,0.54,0.56,0.43,0.36,0.32,0.34,0.33,0.32,,27.1,19.71,13.96,14.42,11.44,11.77,9.04,7.69,3.93,4.23,4.08,3.95
17040,광명전기,전기·전자,1.07,1.25,1.12,0.9,0.96,1.04,1.0,0.88,0.89,0.88,0.69,0.53,0.53,23.38,23.22,20.87,16.72,17.77,22.0,21.24,18.57,18.74,10.45,8.14,6.31,6.28
17180,명문제약,제약,1.61,1.52,1.33,1.11,1.16,0.99,0.9,0.84,0.83,0.83,0.9,0.8,0.68,,,,,,11.26,10.2,9.59,9.48,,,,
17250,인터엠,전기·전자,0.57,0.94,0.86,0.88,0.94,0.89,0.97,0.93,0.81,0.64,0.56,0.53,0.58,,,,,,27.46,30.2,28.93,25.2,3.02,2.67,2.53,2.75
17370,우신시스템,기계·장비,0.6,0.56,0.45,0.54,0.67,0.58,1.4,1.44,1.48,1.33,1.1,1.11,0.95,,,,,,19.32,46.54,48.15,49.43,17.34,14.25,14.44,12.41
